Sp,Tissue,X_volume,X_surface,Nuc_volume,X_elongation,X_compacity,X_LD,X_rad_pos,X_rel_ellong,X_DC_avg
An. atroparvus,Nurse c.,347.92,474.75,"3,111.77",1.14,0.04,12.68,0.55,0.79,4.34
An. atroparvus,Nurse c.,804.21,"1,000.27","7,063.24",1.37,0.03,22.75,0.53,0.64,6.80
An. atroparvus,Nurse c.,611.26,762.82,"6,532.07",1.44,0.03,17.80,0.59,0.61,5.55
An. atroparvus,Nurse c.,105.19,205.00,"1,955.38",2.70,0.10,11.66,0.59,0.89,3.91
An. atroparvus,Nurse c.,132.17,240.34,"3,960.51",1.64,0.05,11.58,0.66,0.87,3.50
An. atroparvus,Germ c.,24.50,70.89,55.91,1.43,0.08,5.22,0.73,0.89,1.79
An. atroparvus,Germ c.,60.99,133.39,135.55,1.03,0.07,6.40,0.72,0.90,2.41
An. atroparvus,Germ c.,18.40,64.17,91.66,1.60,0.08,5.42,0.67,0.81,1.77
An. atroparvus,Germ c.,33.60,92.92,150.57,1.32,0.06,6.57,0.68,0.80,2.06
An. atroparvus,Nurse c.,141.06,236.09,3165.73,1.13,0.10,9.70,0.54,0.92,3.48
An. atroparvus,Nurse c.,56.90,131.80,2334.72,1.89,0.10,8.78,0.51,0.93,2.68
An. atroparvus,Nurse c.,35.78,109.78,1687.20,1.83,0.05,9.01,0.72,0.59,2.57
An. atroparvus,Nurse c.,68.93,190.35,3698.60,1.78,0.04,9.87,0.47,0.69,2.87
An. atroparvus,Nurse c.,40.06,121.95,1188.11,1.69,0.05,9.50,0.56,0.41,2.86
An. atroparvus,Nurse c.,81.20,168.38,2357.05,2.50,0.15,11.81,0.57,0.89,3.59
An. atroparvus,Nurse c.,42.11,123.31,4225.56,1.73,0.05,9.22,0.28,0.75,2.52
An. labranchiae,Nurse c.,167.99,345.26,2759.59,2.44,0.02,17.18,0.54,0.55,4.46
An. labranchiae,Nurse c.,40.18,100.12,1556.51,1.86,0.06,6.88,0.56,0.87,2.12
An. labranchiae,Nurse c.,92.54,167.54,3368.38,1.05,0.07,7.14,0.84,0.93,2.66
An. labranchiae,Nurse c.,22.44,77.56,1293.94,2.59,0.06,6.38,0.58,0.67,NaN
An. labranchiae,Nurse c.,23.12,74.38,1315.99,2.66,0.05,7.32,0.34,0.77,2.07
An. labranchiae,Nurse c.,48.33,114.32,2725.68,2.20,0.07,7.29,0.56,0.84,2.32
An. labranchiae,Nurse c.,87.77,179.76,1285.96,1.94,0.05,9.83,0.60,0.75,2.99
An. labranchiae,Nurse c.,30.33,81.94,708.44,1.22,0.12,5.33,0.88,0.92,2.00
An. labranchiae,Nurse c.,46.98,108.34,1700.60,2.44,0.06,8.24,0.61,0.95,2.37
An. labranchiae,Nurse c.,94.84,173.80,2373.26,1.47,0.09,7.92,0.63,0.90,2.92
An. labranchiae,Nurse c.,60.83,157.52,1232.25,1.45,0.05,8.42,0.60,0.61,2.71
An. labranchiae,Nurse c.,18.33,60.89,788.80,1.79,0.12,5.29,0.72,0.85,1.80
